number,tweet_ids,created_at,favorite_count,retweet_count,id_noticia,index,Id,user_created_at,followers,friends,verified
0,937349434668498944,20171203155454,0,0,politifact15014,0,OfeliasHeaven,20151113033128,707,1031,False
1,937379378006282240,20171203175354,0,0,politifact15014,0,lorn_cramer,20150213234944,13,103,False
2,937380068590055425,20171203175638,0,0,politifact15014,0,lorn_cramer,20150213234944,13,103,False
3,937387493451862016,20171203182608,28,18,politifact15014,0,lupash7,20140903004535,22662,17769,False
4,937406789686980608,20171203194249,1,1,politifact15014,0,yojudenz,20130513041018,23687,25165,False
5,937415066810503168,20171203201542,3,2,politifact15014,0,WilliamNerbonne,20170108030509,25514,25525,False
6,937427631661768704,20171203210538,0,1,politifact15014,0,saveusrepublic2,20120503145151,19196,18718,False
7,937429898670600192,20171203211439,0,0,politifact15014,0,starchaser57,20090307040955,2072,2161,False
8,937436145004302337,20171203213928,0,0,politifact15014,0,Ettan1945,20130213102200,11995,12088,False
9,937449906352152576,20171203223409,0,0,politifact15014,0,ThePipeStore,20130507010608,22437,23973,False
10,937450317142286336,20171203223547,0,0,politifact15014,0,bronwyn1140,20140513121326,4507,4987,False
11,937451599320027136,20171203224052,0,0,politifact15014,0,movie1212,20090204210831,20053,12920,False
12,937452013939494912,20171203224231,0,0,politifact15014,0,michaelaw631,20140712185000,132,490,False
13,937452151227510784,20171203224304,0,0,politifact15014,0,michaelaw631,20140712185000,132,490,False
14,937453119478423553,20171203224655,0,0,politifact15014,0,Nappers824,20160514080356,3437,3464,False
15,937462176293437443,20171203232254,0,0,politifact15014,0,kldreams61,20151013201812,3455,4998,False
16,937471159246950401,20171203235836,0,1,politifact15014,0,ronwagn,20080921014442,4965,5675,False
17,937473844813508609,20171204000916,10,7,politifact15014,0,ChasD3,20090527071004,45853,15377,False
18,937474875861749760,20171204001322,0,0,politifact15014,0,Kurt_770A,20161107164745,592,1074,False
19,937481780088598528,20171204004048,0,0,politifact15014,0,nhssabine,20100320195732,8751,8074,False
20,937485222257586177,20171204005429,1446,1222,politifact15014,0,RealMAGASteve,20110918035723,91735,55157,False
21,937491440082522117,20171204011911,3,1,politifact15014,0,Billionaire128,20090630012030,1572,4482,False
22,937491843851231232,20171204012047,4,2,politifact15014,0,tasteofaz,20090214022228,29666,25629,False
23,937493781271732229,20171204012829,0,0,politifact15014,0,Stevenehumphrey,20170420021524,7002,6878,False
24,937494245883068421,20171204013020,0,0,politifact15014,0,poooopers,20120213033904,11,13,False
25,937508442352373760,20171204022645,1,1,politifact15014,0,fat2energy,20170329163826,1902,3878,False
26,937510057322995712,20171204023310,0,0,politifact15014,0,cannoneerno4,20090303183821,1346,4412,False
27,937521928738185216,20171204032020,0,0,politifact15014,0,Iridium24,20080725032134,1130,1805,False
28,937522668303147010,20171204032317,0,0,politifact15014,0,CalRWinn,20120125013341,30575,31427,False
29,937524138121478144,20171204032907,0,0,politifact15014,0,Ace__of__Hearts,20090421050158,867,961,False
30,937526251027402753,20171204033731,3,3,politifact15014,0,sunbeltgirl,20110816135952,59912,32337,False
31,937542730162540544,20171204044300,0,0,politifact15014,0,RuffusMD,20090617232534,10566,11567,False
32,937543928844374016,20171204044746,1,1,politifact15014,0,DGHallow,20170408155911,17004,15661,False
33,937628495865196544,20171204102348,2,0,politifact15014,0,A1arch,20130529010906,3334,3983,False
34,937688299757588485,20171204142126,1,0,politifact15014,0,letgobestill,20110406112716,16763,18287,False
35,937693047458025474,20171204144018,0,0,politifact15014,0,Melissa31920880,20170304235002,7164,6321,False
36,937696540453466112,20171204145411,0,0,politifact15014,0,citigirl555,20100126232311,2811,5000,False
37,937703980158935040,20171204152345,2,1,politifact15014,0,crosshairsonyou,20150407112342,7549,7395,False
38,937737858726744064,20171204173822,0,0,politifact15014,0,patriots4trump,20151007005209,2640,2935,False
39,937738398080622592,20171204174031,1,3,politifact15014,0,BillyBoysDaddy,20100618182928,13073,12238,False
40,937739985113018368,20171204174649,0,0,politifact15014,0,BillyBoysDaddy,20100618182928,13073,12238,False
41,937742668393734145,20171204175729,0,0,politifact15014,0,kin2souls,20140101231902,6769,4855,False
42,937749996098555911,20171204182636,4,1,politifact15014,0,Mmarty1230,20170214234902,29790,32768,False
43,937756485630808065,20171204185223,0,0,politifact15014,0,kangenagicdave,20161228171250,339,1280,False
44,937757406129479682,20171204185602,0,0,politifact15014,0,soxfaninpa1,20150305084925,2895,1860,False
45,937787346019340288,20171204205501,0,0,politifact15014,0,lumpy3148,20090618061908,322,970,False
46,937787353824931840,20171204205503,0,0,politifact15014,0,lumpy3148,20090618061908,322,970,False
47,937798800453918723,20171204214032,0,0,politifact15014,0,TmottaDing,20130812000624,164,356,False
48,937813631281934337,20171204223928,0,1,politifact15014,0,cwoolley06,20121025230754,2699,3694,False
49,937832949453590528,20171204235613,0,0,politifact15014,0,patrickemry,20120510012310,172,1197,False
50,937842520364584960,20171205003415,0,0,politifact15014,0,HoylandEileen,20161228215728,3798,3386,False
51,937855193483501568,20171205012437,0,0,politifact15014,0,nclawyer2,20090409024337,1536,1569,False
52,937856552660295680,20171205013001,1,0,politifact15014,0,bestra6169,20161125142359,15336,15221,False
53,937864937820639239,20171205020320,0,0,politifact15014,0,russosimon,20090429200911,697,2456,False
54,937900837086597120,20171205042559,0,0,politifact15014,0,BigBobDC68,20120918223126,16443,17736,False
55,937913933414981632,20171205051801,0,0,politifact15014,0,NEPTUNE1X2X,20140923121753,37,143,False
56,937920200514703366,20171205054256,0,0,politifact15014,0,Shannon091171,20130410142010,268,272,False
57,937929101620404224,20171205061818,0,0,politifact15014,0,ASteveRobinson,20120426231900,34,113,False
58,938008154125885440,20171205113225,0,0,politifact15014,0,lesliedalehicks,20131022170312,679,1343,False
59,938068477276860416,20171205153208,1,1,politifact15014,0,ArizonaSun3,20150804200902,6296,6919,False
60,938079298157760512,20171205161508,0,0,politifact15014,0,byrdiemarquez,20110821083906,36,104,False
61,938100808083738624,20171205174036,0,0,politifact15014,0,focusnewspro,20170623153115,1,0,False
62,938103147054161920,20171205174954,0,3,politifact15014,0,snyder777,20090502182908,44374,44037,False
63,938165596730134528,20171205215803,0,0,politifact15014,0,PJ_Phares,20120216200804,136,668,False
64,938196044285923328,20171205235902,0,0,politifact15014,0,toppertaco,20090609193443,7804,7293,False
65,938211896431448064,20171206010201,0,0,politifact15014,0,jeanmarie1023,20121103004438,138,1297,False
66,938289136703823872,20171206060857,1,0,politifact15014,0,GoodScienceFYou,20110406215331,178,488,False
67,938353893443977216,20171206102616,3,2,politifact15014,0,155thMed,20161217023522,3440,2071,False
68,938362786287058944,20171206110136,0,0,politifact15014,0,RDVarley,20090530221203,11703,11180,False
69,938600814914031616,20171207024727,0,0,politifact15014,0,MichaelBendall7,20150705023723,630,1445,False
70,938620649215528960,20171207040616,0,0,politifact15014,0,twin0830us,20110903022104,3736,3799,False
71,938946906444660737,20171208014241,0,0,politifact15014,0,rkaley1,20130613171520,121,466,False
72,938988970653786112,20171208042950,1,1,politifact15014,0,PRheydt,20110815105231,15165,16662,False
73,939089302167973888,20171208110831,5,6,politifact15014,0,borderfox116,20090825212707,11689,12705,False
74,939272833427034112,20171208231748,0,0,politifact15014,0,RoyMcCampbell,20110714234323,166,707,False
75,939272836887261186,20171208231749,0,0,politifact15014,0,royfmc,20091224171622,1093,3693,False
76,939445960865968128,20171209104545,0,0,politifact15014,0,blaze0497,20150116221439,10851,11257,False
77,939461705528168448,20171209114819,0,0,politifact15014,0,jboatman3,20090701033227,116,254,False
78,939468815628488707,20171209121634,0,0,politifact15014,0,teri3622,20140430023438,455,893,False
79,940980953299783680,20171213162516,0,0,politifact15014,0,teri3622,20140430023438,455,893,False
80,940987185859383296,20171213165002,0,0,politifact15014,0,tennesseepeggy,20101118175104,2658,2977,False
81,941026788964102144,20171213192724,0,0,politifact15014,0,marvelbrannock,20161206223342,37,213,False
82,941044474905423872,20171213203741,0,0,politifact15014,0,jerrydr,20091128221708,2428,2900,False
83,941080636852523013,20171213230122,0,1,politifact15014,0,Kittykatnip1970,20091007195416,5375,4952,False
84,941471287054094337,20171215005341,0,0,politifact15014,0,BrettWSabio,20140317115458,70,69,False
85,941829442665553920,20171216003652,0,0,politifact15014,0,garzagarza1972,20120206175326,6,44,False
86,942182775024734208,20171217000053,0,0,politifact15014,0,blaze0497,20150116221439,10851,11257,False
87,942369156254576641,20171217122129,0,0,politifact15014,0,mks8864,20121012020700,7037,0,False
88,942421857634004998,20171217155054,0,0,politifact15014,0,PattiPropst,20140721231642,996,1049,False
89,942750575267106817,20171218133707,0,0,politifact15014,0,TVOTP1,20131017073027,363,556,False
90,942966219799515136,20171219035400,0,0,politifact15014,0,IRONRHINO333,20100102115529,15,156,False
91,944057586374103045,20171222041042,0,0,politifact15014,0,ccc122436,20131121135523,3,35,False
92,944202537976156160,20171222134642,0,0,politifact15014,0,ken_parrish,20130117023755,72,239,False
93,944582624282120193,20171223145701,0,0,politifact15014,0,blaze0497,20150116221439,10851,11257,False
94,945092931844804608,20171225004448,0,0,politifact15014,0,mitigirl,20090501123027,1231,1368,False
95,946194743779717122,20171228014301,0,0,politifact15014,0,wbrock2,20090911180311,546,0,False
96,946570019860897792,20171229023413,0,0,politifact15014,0,oscar23_fuentes,20130502013149,2191,3044,False
97,946901429112967168,20171230003107,0,0,politifact15014,0,blaze0497,20150116221439,10851,11257,False
98,946913385211465728,20171230011838,0,0,politifact15014,0,byrdiemarquez,20110821083906,36,104,False
99,946917851243393024,20171230013623,0,0,politifact15014,0,Janice36017731,20140522014317,11001,11320,False
100,946935469216059393,20171230024623,0,0,politifact15014,0,DwayneTraut,20150904090141,8,58,False
101,947133585886269440,20171230155338,0,0,politifact15014,0,zflip26,20090501183211,27139,27198,False
102,952689244400734208,20180114234950,0,0,politifact15014,0,attentionmars,20140423003320,1786,4502,False
103,952709650444668928,20180115011055,0,0,politifact15014,0,Bamatopher,20110716041108,3795,5002,False
104,952727017983705089,20180115021956,0,0,politifact15014,0,ImRodriguez9,20100620234249,824,831,False
105,953420038819733504,20180117001345,0,0,politifact15014,0,saber24R,20170203234912,4,19,False
106,957810295442956288,20180129025904,0,0,politifact15014,0,durham5611,20090327013133,55,105,False
107,957848606215737344,20180129053118,0,0,politifact15014,0,mcall715432,20151203174418,401,958,False
108,958020350599577600,20180129165345,0,0,politifact15014,0,oathkeeper7777,20170308160340,14439,15240,False
